Gyro 0 Variance,Gyro 1 Variance,Gyro 2 Variance,Orientation 0 Variance,Orientation 1 Variance,Orientation 2 Variance,Orientation 3 Variance,Sensor 0 Variance,Sensor 1 Variance,Sensor 2 Variance,Sensor 3 Variance,Sensor 4 Variance,Sensor 5 Variance,Sensor 6 Variance,Sensor 7 Variance,Gyro 0 Mean,Gyro 1 Mean,Gyro 2 Mean,Orientation 0 Mean,Orientation 1 Mean,Orientation 2 Mean,Orientation 3 Mean,Sensor 0 Mean,Sensor 1 Mean,Sensor 2 Mean,Sensor 3 Mean,Sensor 4 Mean,Sensor 5 Mean,Sensor 6 Mean,Sensor 7 Mean,zcr 0,zcr 1,zcr 2,zcr 3,zcr 4,zcr 5,zcr 6,zcr 7,sch 0,sch 1,sch 2,sch 3,sch 4,sch 5,sch 6,sch 7,Label
1567.0564873936205,1204.4117605009833,1359.060182814068,5205.709815117047,3659.5741852170618,9346.42400598542,2549.854204853276,573.1341124698728,748.9967460946277,1354.3456964270226,966.2208981731012,2069.672365073867,984.2927267503418,1467.7070365088737,1061.8596466241831,-27.629539297177192,-70.50759134615383,-55.98144654583662,-90.67462800112982,84.80924991152948,-38.45282521008401,87.83299403768184,0.4273473983155103,0.23374852255064416,-4.997599208717109,10.443979861486381,1.2251769680354907,-7.687733337661609,4.18945748995371,4.38472881355718,2.402912621359224,2.734806629834254,3.3698630136986303,4.554455445544554,2.74585635359116,4.3047619047619055,3.8110236220472435,4.116666666666666,0.0,-0.007843137254901959,-0.008583690987124462,-0.004694835680751174,-0.0038759689922480615,-0.0048543689320388345,-0.0091324200913242,-0.004405286343612335,1
1522.7403290490274,1330.843390126505,1140.4385604242834,5340.391292096966,3480.047008151615,4144.66970903636,3029.659545460953,436.1442922511065,674.4595056193241,1366.0210758563894,1059.0368640404736,1935.1988466590094,875.0531211912776,1228.9104873167935,868.0843706601485,-23.04321365739232,-68.02649947312962,-53.92317845743138,-89.60962494494845,88.2652672595207,18.615722164770773,87.43588082901556,-1.0872537583080284,1.2669498348147554,0.7058975416992316,2.2799196187455686,2.6432203164157344,5.909942388562827,0.0019921569566030825,-0.19124705882536824,2.46,3.024390243902439,2.8837209302325584,2.823863636363636,2.9408284023668636,3.6058394160583935,2.789772727272727,2.7142857142857144,-0.013651877133105802,0.0,-0.00411522633744856,0.0,0.0,-0.00881057268722467,-0.016194331983805668,1.8863636363636365,1
1382.3341364970565,988.5521723118223,1323.44965549234,4477.933658688655,3200.9950351169896,4719.644438754517,3480.7644640653425,565.2814886543392,1007.8741978021844,1497.6561452250296,1616.908417899006,1713.7259440110834,835.5092407070914,1552.3322859337802,1020.5579436044901,-19.93725421959283,-78.08326015473888,-33.58395817078457,68.1904895912475,-100.16138235535496,31.879272365805182,-84.03659127305444,32.62913106757162,0.18903812966209185,6.9203333184157945,0.07371346173509039,3.1276867839285485,0.6115921585610781,-0.2569882353236992,2.5563212851395467,5.930232558139535,2.8135593220338984,3.654411764705882,2.8928571428571432,2.888235294117647,2.792134831460674,2.636363636363636,3.696969696969697,2.7966101694915246,1.9722222222222223,2.1842105263157894,2.0205761316872426,1.984,0.0,0.0,2.1153846153846154,1
1341.7825040758812,1064.6577449465376,1539.0060894728274,5220.916151778558,3629.9516802492335,4858.607401490909,3097.991295548491,613.7602499633026,779.8830341289218,1382.515275490173,813.5724833964473,1521.3611345372296,903.9355790267546,1386.6747516652233,803.0450791765463,-27.11888525458518,-62.42223325062036,-59.98502899462026,-78.94371828204704,83.09579469466706,28.642763956596983,79.23068984700978,13.785163935996854,-20.37182504366938,8.793278242924387,12.061124036249485,-1.1853337473156484,1.9844425558401841,0.08367058816157956,-0.27690980392084363,4.422018348623853,6.6,3.193548387096774,4.900990099009901,3.0121951219512195,3.0552147239263805,2.9879518072289155,2.7821229050279332,2.2098214285714284,0.0,-0.004132231404958678,0.0,-0.004032258064516129,2.0080971659919027,0.0,-0.0038314176245210726,1
1632.621733511879,1193.7999799794686,1517.925317120078,5429.1814150008,4771.444560380374,2832.6120310285633,1841.501852527029,683.374984308413,951.1146782341513,1015.8901292445088,1012.4973089331282,1580.7389668524936,677.4141662606387,1047.2875642367612,637.9716804348757,-13.242000415713987,-49.50933787362845,-41.222661430441505,89.7990298350298,-80.6750218248751,-33.8700367203924,-51.018007174887934,15.441084671862125,-1.5213766713414594,-0.6529618798322174,-0.4602260241896286,0.7248522858892062,0.05777254077350926,0.06175686257628436,-8.450093617025239,4.9793814432989665,2.59375,2.9122807017543866,2.929411764705882,2.699453551912568,2.71584699453552,2.8786127167630062,5.285714285714286,2.1894273127753303,1.930232558139535,2.0708333333333333,2.0970464135021096,1.9150579150579152,-0.00390625,2.147186147186148,2.561855670103093,1
1679.8077176452866,1247.815770661857,1387.4190923555966,5327.2329450535335,3071.232495315109,5026.3941671506345,5592.111401616279,429.00190439827765,625.7159174092723,665.5979312749074,761.1474590059082,1350.0865210097036,687.0510042556216,990.7427493079892,581.9201160621876,-21.340265681417424,-81.66508291032146,-70.28831493506493,-78.27763096397268,74.30516865417377,-82.76391607753705,81.50711512782937,44.578516074218825,-0.6939935009919578,-2.586263857883681,-0.25306031000407136,0.5418663072091119,0.13546666150084336,-4.510048780475335,0.10359215686327612,8.692307692307693,2.8181818181818183,3.151898734177215,2.9642857142857144,2.681081081081081,2.6084656084656084,3.95967741935484,2.5357142857142856,3.271523178807947,2.0539419087136928,2.1558441558441563,0.0,1.964426877470356,2.057851239669421,-0.014084507042253518,0.0,1
1618.982469510033,1414.6648591628675,1341.5618792621026,5563.347375633978,4258.75324368466,2964.235009128239,2198.620489366344,574.1716091987504,1011.7402045413687,990.7429531128253,794.6433628837763,1875.8446616074646,1188.2748978382228,1035.6694654101989,832.4223228986602,-20.030080808080807,-45.94278948309783,-57.79105215759849,-86.16187029809849,81.65558603863099,56.45612529199405,-45.5382872062663,-1.0625929065208832,-0.17869437179897393,-0.2974398148285577,14.838489211709911,1.7610683669698632,2.8456991149651314,-0.4004235294021776,-2.1027341772147783,2.3779904306220097,2.8779069767441863,2.6020942408376957,5.6875,2.578125,3.132911392405063,2.7966101694915246,3.2352941176470584,0.0,-0.008196721311475409,-0.003861003861003861,2.9520958083832336,-0.00390625,0.0,-0.004166666666666668,-0.004201680672268907,1
1473.3797898239773,1171.039102335376,1199.7966020038805,4914.823489554724,3634.0954956126343,6739.874704409238,2286.31823463754,426.9298949956082,701.7915548496144,1006.4288064187148,973.1941269669786,1328.4451691734475,874.0565174208027,964.5833603581681,701.4938095208603,-14.046681516587672,-57.991780708986,-59.37856662223069,-91.6885019548012,88.67621985137224,-17.465495562821086,77.38262400000009,3.0020285758393688,-0.1711208370661222,4.5863134502002785,-0.22113583448133511,1.0020568466033442,0.15937255146634155,-1.1076392157731163,-0.41038431372426376,2.607329842931937,3.2352941176470584,3.171974522292994,2.9879518072289155,2.6349206349206344,2.4077669902912606,2.8941176470588235,2.6349206349206344,1.7113402061855667,2.075,2.083682008368201,-0.01293103448275862,2.016260162601626,-0.011627906976744186,2.147186147186148,0.0,1
1736.0512770418654,1225.975118205333,1567.4926889789124,5496.6084702719645,3793.281737533864,2704.2489212271507,3977.872360815989,315.5540086895523,801.8964661026055,1499.8170408591666,980.9555928615396,1905.5105900507647,673.0942086107468,1214.1480636915862,765.9064459089285,-20.627856054717856,-59.75639469128679,-54.38750580919654,-80.04478576563625,77.89843714325491,32.25167926267279,-43.923623389494466,-17.09236858295231,8.784362211651366,15.4879446563175,-5.999854467824023,-1.0708631793424308,-4.129813765606746,-0.1633568627502242,18.372666666661985,6.816326530612245,3.2352941176470584,4.410714285714286,3.3928571428571432,2.9235294117647057,3.4532374100719423,2.8720930232558137,4.565217391304348,2.7333333333333334,0.0,-0.014150943396226415,2.1478260869565218,0.0,2.225225225225225,2.0327868852459017,2.6243386243386237,1
1321.784024503584,1209.2460405558736,1278.560246083745,4686.487024388851,3517.801368617637,8242.231440462607,3136.092975911839,472.53881803991163,956.9924861131103,1247.9528796109973,1110.2771202226118,1793.1988069648462,881.0476822591603,1265.3633399616842,813.5312960034347,-8.80380991926182,-47.7033225626741,-47.798617789493036,-91.66966268210683,89.98341487828924,-38.91558773345633,97.99715081450334,-32.69928350884559,11.781746676869025,-0.4732447060448506,-6.8884481105600965,0.7610051166247335,-8.37776667089017,-0.3326901961476291,-1.1514666666641191,5.310344827586206,3.9669421487603302,3.05625,4.1,3.018292682926829,4.5049504950495045,3.193548387096774,2.6296296296296298,3.185897435897436,-0.03225806451612903,2.1842105263157894,2.2648401826484017,0.0,-0.029411764705882363,-0.004444444444444445,0.0,1
