,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
268,105,147,236,104,105,137,164,86,-269,142,-515,8323,3115,-11316,-7836
269,107,145,235,109,103,134,166,88,-269,142,-515,8323,3115,-11316,-7836
270,107,145,235,109,103,134,166,88,-346,165,-742,8299,3190,-11232,-7952
271,120,153,240,113,110,130,163,95,-346,165,-742,8299,3190,-11232,-7952
272,120,153,240,113,110,130,163,95,-430,188,-955,8261,3282,-11133,-8093
273,137,179,234,97,105,119,145,116,-430,188,-955,8261,3282,-11133,-8093
274,137,179,234,97,105,119,145,116,-468,201,-1138,8212,3386,-11025,-8245
275,145,187,222,109,96,106,111,119,-468,201,-1138,8212,3386,-11025,-8245
276,145,187,222,109,96,106,111,119,-495,206,-1339,8145,3513,-10902,-8421
277,153,185,260,116,83,104,101,123,-495,206,-1339,8145,3513,-10902,-8421
278,153,185,260,116,83,104,101,123,-578,231,-1524,8064,3658,-10752,-8627
279,165,232,304,128,76,93,92,124,-578,231,-1524,8064,3658,-10752,-8627
280,165,232,304,128,76,93,92,124,-798,219,-1706,7961,3808,-10582,-8865
281,162,234,319,136,61,66,98,121,-798,219,-1706,7961,3808,-10582,-8865
282,162,234,319,136,61,66,98,121,-1011,180,-1895,7838,3958,-10381,-9142
283,149,211,346,142,51,58,90,90,-1011,180,-1895,7838,3958,-10381,-9142
284,149,211,346,142,51,58,90,90,-1240,122,-2091,7694,4102,-10148,-9458
285,137,219,352,134,51,52,87,84,-1240,122,-2091,7694,4102,-10148,-9458
286,137,219,352,134,51,52,87,84,-1356,73,-2323,7517,4255,-9890,-9799
287,130,217,317,130,54,47,70,71,-1356,73,-2323,7517,4255,-9890,-9799
288,130,217,317,130,54,47,70,71,-1399,40,-2530,7309,4420,-9613,-10153
289,116,177,278,187,57,48,66,65,-1399,40,-2530,7309,4420,-9613,-10153
290,116,177,278,187,57,48,66,65,-1568,110,-2683,7091,4591,-9296,-10520
291,117,175,264,216,56,45,45,62,-1568,110,-2683,7091,4591,-9296,-10520
292,117,175,264,216,56,45,45,62,-1702,157,-2747,6868,4759,-8947,-10889
293,102,173,221,233,56,41,39,51,-1702,157,-2747,6868,4759,-8947,-10889
294,102,173,221,233,56,41,39,51,-1936,120,-2766,6643,4900,-8561,-11270
295,106,155,197,337,91,43,36,45,-1936,120,-2766,6643,4900,-8561,-11270
296,106,155,197,337,91,43,36,45,-2196,42,-2798,6413,5008,-8134,-11665
297,101,151,189,353,88,41,34,45,-2196,42,-2798,6413,5008,-8134,-11665
298,101,151,189,353,88,41,34,45,-2543,-11,-2725,6197,5070,-7659,-12070
299,95,149,226,390,103,37,34,47,-2543,-11,-2725,6197,5070,-7659,-12070
300,95,149,226,390,103,37,34,47,-2819,-34,-2590,6004,5088,-7146,-12468
301,101,150,222,386,109,37,39,47,-2819,-34,-2590,6004,5088,-7146,-12468
302,101,150,222,386,109,37,39,47,-3138,-120,-2487,5825,5057,-6592,-12864
303,101,142,250,388,111,38,46,47,-3138,-120,-2487,5825,5057,-6592,-12864
304,101,142,250,388,111,38,46,47,-3358,-202,-2411,5654,4984,-6007,-13250
305,100,140,249,318,90,83,65,48,-3358,-202,-2411,5654,4984,-6007,-13250
306,100,140,249,318,90,83,65,48,-3676,-211,-2329,5498,4876,-5370,-13623
307,109,142,268,298,94,106,100,54,-3676,-211,-2329,5498,4876,-5370,-13623
308,109,142,268,298,94,106,100,54,-3919,-185,-2153,5371,4738,-4694,-13968
309,105,126,222,206,132,171,119,58,-3919,-185,-2153,5371,4738,-4694,-13968
310,105,126,222,206,132,171,119,58,-3960,-147,-1949,5267,4583,-4012,-14269
311,83,109,220,180,164,196,152,66,-3960,-147,-1949,5267,4583,-4012,-14269
312,83,109,220,180,164,196,152,66,-4158,-47,-1909,5172,4421,-3289,-14537
313,80,94,178,141,175,223,154,70,-4158,-47,-1909,5172,4421,-3289,-14537
314,80,94,178,141,175,223,154,70,-4345,32,-1861,5083,4248,-2525,-14771
315,70,85,185,100,192,226,155,66,-4345,32,-1861,5083,4248,-2525,-14771
316,70,85,185,100,192,226,155,66,-4314,159,-1801,4994,4083,-1752,-14959
317,57,79,162,102,235,244,167,65,-4314,159,-1801,4994,4083,-1752,-14959
318,57,79,162,102,235,244,167,65,-4219,315,-1757,4898,3939,-983,-15099
319,50,71,157,89,252,225,159,60,-4219,315,-1757,4898,3939,-983,-15099
320,50,71,157,89,252,225,159,60,-4125,421,-1666,4801,3808,-220,-15193
321,49,68,149,86,253,241,134,47,-4125,421,-1666,4801,3808,-220,-15193
322,49,68,149,86,253,241,134,47,-3956,525,-1559,4704,3693,524,-15245
