,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
142,123,407,902,908,220,67,81,58,-14,89,294,-2486,7381,3631,13949
143,123,407,902,908,220,67,81,58,70,130,307,-2544,7376,3613,13945
144,117,378,851,893,221,66,80,57,70,130,307,-2544,7376,3613,13945
145,117,378,851,893,221,66,80,57,131,134,335,-2609,7366,3605,13941
146,110,302,749,781,188,57,78,57,131,134,335,-2609,7366,3605,13941
147,110,302,749,781,188,57,78,57,113,86,326,-2673,7362,3592,13934
148,99,249,648,644,156,53,74,58,113,86,326,-2673,7362,3592,13934
149,99,249,648,644,156,53,74,58,21,57,225,-2716,7362,3567,13932
150,104,244,679,570,164,77,76,59,21,57,225,-2716,7362,3567,13932
151,104,244,679,570,164,77,76,59,130,44,237,-2767,7358,3560,13926
152,103,222,633,642,185,133,80,59,130,44,237,-2767,7358,3560,13926
153,103,222,633,642,185,133,80,59,92,9,209,-2805,7360,3559,13918
154,96,206,613,609,171,141,78,58,92,9,209,-2805,7360,3559,13918
155,96,206,613,609,171,141,78,58,34,-7,208,-2838,7367,3550,13910
156,101,219,683,610,181,196,77,55,34,-7,208,-2838,7367,3550,13910
157,101,219,683,610,181,196,77,55,-10,-41,198,-2866,7381,3533,13901
158,97,234,729,641,204,248,79,47,-10,-41,198,-2866,7381,3533,13901
159,97,234,729,641,204,248,79,47,35,-20,215,-2901,7392,3521,13891
160,106,235,701,630,264,244,83,46,35,-20,215,-2901,7392,3521,13891
161,106,235,701,630,264,244,83,46,135,-3,222,-2947,7399,3523,13877
162,99,238,692,544,255,223,79,43,135,-3,222,-2947,7399,3523,13877
163,99,238,692,544,255,223,79,43,179,30,234,-2999,7401,3530,13863
164,100,237,654,550,261,222,79,45,179,30,234,-2999,7401,3530,13863
165,100,237,654,550,261,222,79,45,202,16,230,-3052,7405,3538,13847
166,93,221,577,547,259,177,85,46,202,16,230,-3052,7405,3538,13847
167,93,221,577,547,259,177,85,46,276,21,198,-3107,7401,3561,13831
168,98,215,444,500,307,95,86,48,276,21,198,-3107,7401,3561,13831
169,98,215,444,500,307,95,86,48,241,-24,176,-3155,7404,3580,13814
170,85,191,373,436,345,90,83,48,241,-24,176,-3155,7404,3580,13814
171,85,191,373,436,345,90,83,48,161,-53,152,-3190,7414,3591,13798
172,79,183,277,355,334,79,84,51,161,-53,152,-3190,7414,3591,13798
173,79,183,277,355,334,79,84,51,186,-41,148,-3229,7421,3603,13782
174,78,186,267,362,330,70,83,52,186,-41,148,-3229,7421,3603,13782
175,78,186,267,362,330,70,83,52,151,-27,170,-3266,7429,3615,13766
176,77,230,255,327,328,70,76,56,151,-27,170,-3266,7429,3615,13766
177,77,230,255,327,328,70,76,56,155,-19,214,-3307,7440,3626,13747
178,75,188,235,293,268,67,76,57,155,-19,214,-3307,7440,3626,13747
179,75,188,235,293,268,67,76,57,64,28,352,-3363,7452,3614,13730
180,323,182,208,290,108,64,83,295,64,28,352,-3363,7452,3614,13730
181,323,182,208,290,108,64,83,295,115,138,454,-3445,7453,3592,13715
182,344,178,187,242,92,61,83,316,115,138,454,-3445,7453,3592,13715
183,344,178,187,242,92,61,83,316,254,272,506,-3552,7433,3581,13701
184,402,170,159,177,70,61,83,325,254,272,506,-3552,7433,3581,13701
185,402,170,159,177,70,61,83,325,289,410,596,-3683,7394,3557,13694
186,412,98,100,111,60,58,83,330,289,410,596,-3683,7394,3557,13694
187,412,98,100,111,60,58,83,330,245,437,601,-3813,7344,3522,13694
188,421,91,89,108,45,57,80,331,245,437,601,-3813,7344,3522,13694
189,421,91,89,108,45,57,80,331,245,355,512,-3919,7294,3508,13695
190,288,75,86,82,32,59,75,166,245,355,512,-3919,7294,3508,13695
191,288,75,86,82,32,59,75,166,54,211,439,-3998,7269,3469,13695
192,280,127,58,68,30,58,72,121,54,211,439,-3998,7269,3469,13695
193,280,127,58,68,30,58,72,121,-52,62,302,-4047,7266,3423,13694
194,194,157,56,66,28,52,74,99,-52,62,302,-4047,7266,3423,13694
195,194,157,56,66,28,52,74,99,-2,-54,102,-4064,7270,3409,13690
196,173,162,59,63,22,50,73,75,-2,-54,102,-4064,7270,3409,13690
197,173,162,59,63,22,50,73,75,-87,-156,-27,-4046,7282,3406,13690
198,147,164,48,61,21,52,75,68,-87,-156,-27,-4046,7282,3406,13690
199,147,164,48,61,21,52,75,68,-299,-265,-26,-4008,7323,3375,13687
200,124,164,58,59,23,50,73,51,-299,-265,-26,-4008,7323,3375,13687
201,124,164,58,59,23,50,73,51,-326,-291,9,-3973,7376,3337,13678
202,82,134,90,75,22,52,74,46,-326,-291,9,-3973,7376,3337,13678
203,82,134,90,75,22,52,74,46,-178,-217,15,-3954,7418,3317,13665
204,65,96,112,73,23,52,72,37,-178,-217,15,-3954,7418,3317,13665
205,65,96,112,73,23,52,72,37,-86,-100,27,-3945,7440,3311,13657
206,61,90,175,171,26,48,70,39,-86,-100,27,-3945,7440,3311,13657
207,61,90,175,171,26,48,70,39,-109,-35,33,-3936,7452,3302,13656
208,53,83,186,179,29,47,68,42,-109,-35,33,-3936,7452,3302,13656
209,53,83,186,179,29,47,68,42,-215,-13,61,-3924,7466,3271,13659
210,62,82,188,186,28,45,69,45,-215,-13,61,-3924,7466,3271,13659
211,62,82,188,186,28,45,69,45,-228,26,104,-3921,7479,3229,13663
212,56,62,175,195,29,41,66,46,-228,26,104,-3921,7479,3229,13663
213,56,62,175,195,29,41,66,46,-143,56,97,-3925,7485,3199,13666
214,54,60,166,197,27,42,67,46,-143,56,97,-3925,7485,3199,13666
215,54,60,166,197,27,42,67,46,-12,45,20,-3928,7486,3197,13665
216,51,50,101,135,28,41,70,50,-12,45,20,-3928,7486,3197,13665
217,51,50,101,135,28,41,70,50,22,54,29,-3934,7482,3199,13665
218,52,49,84,127,28,41,73,46,22,54,29,-3934,7482,3199,13665
219,52,49,84,127,28,41,73,46,-35,56,62,-3941,7483,3189,13665
